file,error,num_incorrect_squares,num_incorrect_corners,occupancy_classification_mistakes,piece_classification_mistakes,actual_num_pieces,predicted_num_pieces,fen_actual,fen_predicted,fen_predicted_is_valid,time_corner_detection,time_occupancy_classification,time_piece_classification,time_prepare_results
0473.png,None,0,0,0,0,30,30,2r2rk1/4q1pp/p1nbbp2/1p1pp3/nP6/PN1PP1P1/3N1PBP/B1RQ1RK1,2r2rk1/4q1pp/p1nbbp2/1p1pp3/nP6/PN1PP1P1/3N1PBP/B1RQ1RK1,True,0.24278136199973233,0.3485322280012042,0.2034094720002031,0.00017172899970319122
3423.png,None,0,0,0,0,8,8,8/8/1P6/4Q1k1/3p2q1/1K1P4/6p1/8,8/8/1P6/4Q1k1/3p2q1/1K1P4/6p1/8,True,0.12495789800050261,0.04340915099965059,0.11857857900031377,9.657699956733268e-05
2096.png,None,0,0,0,0,13,13,6r1/1p3p2/5k2/1B1b4/PK1P3p/5P2/2R3P1/8,6r1/1p3p2/5k2/1B1b4/PK1P3p/5P2/2R3P1/8,True,0.12306922600146208,0.041371307999725104,0.09394534099919838,0.00010930600001302082
0300.png,None,0,0,0,0,31,31,r1bqkbnr/pp1npppp/3p4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R,r1bqkbnr/pp1npppp/3p4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R,True,0.1293104200012749,0.04271173300003284,0.1263268619986775,0.00016760000107751694
3526.png,None,0,0,0,0,13,13,8/6k1/8/2b2rpp/8/3B2P1/1PP1RPKP/8,8/6k1/8/2b2rpp/8/3B2P1/1PP1RPKP/8,True,0.12786700700053188,0.04208551599913335,0.055604588000278454,9.650600077293348e-05
2882.png,None,0,0,0,0,24,24,1rb2rk1/p2nbppp/2Bnp3/N7/1P6/P4N2/1BR2PPP/5RK1,1rb2rk1/p2nbppp/2Bnp3/N7/1P6/P4N2/1BR2PPP/5RK1,True,0.1121055339990562,0.04251381300127832,0.11329847500019241,0.00016046000018832274
1102.png,None,0,0,0,0,22,22,1r6/pp1r2kp/2nNbpp1/2P5/8/1PN1P1P1/P4PBP/R5K1,1r6/pp1r2kp/2nNbpp1/2P5/8/1PN1P1P1/P4PBP/R5K1,True,0.12592550400040636,0.04370451299837441,0.11000843300098495,0.0001559569991513854
0439.png,None,0,0,0,0,32,32,rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R,rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R,True,0.11538416700022935,0.04237801899944316,0.12741937099963252,0.00017581199972482864
2802.png,None,0,0,0,0,6,6,6k1/8/8/8/6P1/5K1P/5B2/5b2,6k1/8/8/8/6P1/5K1P/5B2/5b2,True,0.11303574099838443,0.04292570700090437,0.08336590200087812,8.190899825422093e-05
0451.png,None,0,0,0,0,32,32,r1bq1rk1/bp3ppp/p1pp1nn1/4p3/PPBPP3/2P2N1P/3N1PP1/R1BQR1K1,r1bq1rk1/bp3ppp/p1pp1nn1/4p3/PPBPP3/2P2N1P/3N1PP1/R1BQR1K1,True,0.13090699299937114,0.044967166000787984,0.11347804099932546,0.00015859199993428774
