file,error,num_incorrect_squares,num_incorrect_corners,occupancy_classification_mistakes,piece_classification_mistakes,actual_num_pieces,predicted_num_pieces,fen_actual,fen_predicted,fen_predicted_is_valid,time_corner_detection,time_occupancy_classification,time_piece_classification,time_prepare_results
0473.png,None,0,0,0,0,30,30,2r2rk1/4q1pp/p1nbbp2/1p1pp3/nP6/PN1PP1P1/3N1PBP/B1RQ1RK1,2r2rk1/4q1pp/p1nbbp2/1p1pp3/nP6/PN1PP1P1/3N1PBP/B1RQ1RK1,True,0.22727660199961974,0.3016215759998886,0.1511336070007019,0.0001600679997864063
3423.png,None,0,0,0,0,8,8,8/8/1P6/4Q1k1/3p2q1/1K1P4/6p1/8,8/8/1P6/4Q1k1/3p2q1/1K1P4/6p1/8,True,0.12592115699953865,0.044517873000586405,0.03998112099998252,8.53669998832629e-05
2096.png,None,0,0,0,0,13,13,6r1/1p3p2/5k2/1B1b4/PK1P3p/5P2/2R3P1/8,6r1/1p3p2/5k2/1B1b4/PK1P3p/5P2/2R3P1/8,True,0.12135278099958668,0.04675111899996409,0.06220820800081128,0.00011368499963282375
0300.png,None,0,0,0,0,31,31,r1bqkbnr/pp1npppp/3p4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R,r1bqkbnr/pp1npppp/3p4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R,True,0.1330184209991785,0.043942920000517915,0.13663785199969425,0.00016089800010377076
3526.png,None,0,0,0,0,13,13,8/6k1/8/2b2rpp/8/3B2P1/1PP1RPKP/8,8/6k1/8/2b2rpp/8/3B2P1/1PP1RPKP/8,True,0.1286714120005854,0.044085564999477356,0.058815940000386036,0.0001078629993571667
2882.png,None,1,0,0,1,24,24,1rb2rk1/p2nbppp/2Bnp3/N7/1P6/P4N2/1BR2PPP/5RK1,1rB2rk1/p2nbppp/2Bnp3/N7/1P6/P4N2/1BR2PPP/5RK1,True,0.11559939300059341,0.04497549600000639,0.10429120499975397,0.00013876899993192637
1102.png,None,0,0,0,0,22,22,1r6/pp1r2kp/2nNbpp1/2P5/8/1PN1P1P1/P4PBP/R5K1,1r6/pp1r2kp/2nNbpp1/2P5/8/1PN1P1P1/P4PBP/R5K1,True,0.12296961799984274,0.044526031999339466,0.09462677300052746,0.00013726499946642434
0439.png,None,0,0,0,0,32,32,rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R,rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R,True,0.1192957489993205,0.04357370400066429,0.13459213599981013,0.0001672449998295633
2802.png,None,1,0,0,1,6,6,6k1/8/8/8/6P1/5K1P/5B2/5b2,6k1/8/8/8/6P1/5K1P/5B2/5B2,True,0.11318566099998861,0.04386126000008517,0.031546297000204504,8.198799969250103e-05
0451.png,None,0,0,0,0,32,32,r1bq1rk1/bp3ppp/p1pp1nn1/4p3/PPBPP3/2P2N1P/3N1PP1/R1BQR1K1,r1bq1rk1/bp3ppp/p1pp1nn1/4p3/PPBPP3/2P2N1P/3N1PP1/R1BQR1K1,True,0.12923780199980683,0.04390378799962491,0.13105135800014978,0.00018101400019077118
